                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.9402,                 1.6571,                 1.7737,                0.55491,                0.49927,                0.50545,                0.22883,                 1.9433,                 1.6396,                 1.7373,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.9218,                 1.6437,                 1.7781,                0.58917,                0.49413,                0.52154,                0.25161,                    1.9,                 1.6088,                 1.7143,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.9368,                 1.6628,                 1.7854,                0.55252,                0.50054,                 0.5025,                0.23673,                 1.9454,                 1.6173,                 1.7449,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.9534,                 1.6697,                 1.7965,                0.60116,                    0.5,                 0.5385,                 0.2671,                 1.9006,                 1.5945,                 1.7064,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.893,                 1.6355,                 1.7543,                0.62556,                0.51737,                0.55049,                0.27192,                  1.872,                 1.5503,                 1.6876,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.8947,                 1.5961,                 1.7338,                0.58488,                0.52233,                0.54553,                0.27505,                 1.8673,                 1.5399,                 1.6873,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.8965,                 1.6054,                 1.7459,                0.60331,                 0.5137,                0.54403,                0.26868,                 1.8524,                  1.579,                 1.6702,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.8715,                 1.6038,                  1.738,                0.59831,                0.53728,                0.55855,                0.28819,                  1.842,                 1.5145,                 1.6615,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.8506,                   1.56,                 1.7199,                0.60048,                0.52906,                0.56512,                0.28681,                 1.8308,                 1.5131,                 1.6554,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.8571,                 1.5633,                 1.7247,                0.61442,                0.53289,                 0.5654,                0.29757,                 1.8147,                 1.5036,                 1.6387,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.8625,                   1.56,                 1.7051,                0.64274,                0.53952,                0.58696,                0.30125,                 1.8288,                 1.4765,                 1.6422,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.8478,                  1.553,                 1.7171,                0.63275,                0.53304,                0.57831,                0.30871,                 1.7932,                 1.4736,                 1.6298,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.8138,                 1.5151,                 1.6815,                0.63959,                0.53624,                0.58323,                0.30807,                 1.7855,                 1.4711,                 1.6204,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.8253,                 1.5392,                 1.6912,                0.63924,                0.54556,                0.59075,                0.31642,                 1.7866,                 1.4575,                 1.6217,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.7995,                 1.5219,                 1.6917,                0.65179,                0.55757,                0.60077,                0.31765,                 1.7857,                 1.4535,                 1.6174,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.8227,                 1.5423,                 1.7006,                 0.6473,                0.55415,                 0.5959,                0.31465,                  1.768,                 1.4552,                 1.6083,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.8002,                 1.5098,                 1.6695,                 0.6504,                0.55271,                0.60607,                0.32419,                 1.7623,                 1.4373,                  1.602,             8.2683e-05,             8.2683e-05,             8.2683e-05
