                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6711,                   3.76,                 4.1838,                0.00258,                0.33606,                0.02114,                0.00586,                  3.937,                 3.9671,                 4.1403,             0.00051677,             0.00051677,             0.00051677
                      1,                  3.375,                 3.1554,                 3.7765,                0.00252,                0.34483,                0.02615,                0.00802,                 3.7333,                 3.8967,                 4.0378,             0.00099822,             0.00099822,             0.00099822
                      2,                 3.1602,                 2.9332,                 3.2938,                0.53587,                0.09294,                0.02976,                0.00789,                 3.2578,                 4.0163,                 3.5159,              0.0014269,              0.0014269,              0.0014269
                      3,                 3.0498,                 2.7959,                 3.0299,                0.13567,                0.26768,                0.05118,                0.01433,                 3.0244,                 3.5961,                  3.089,              0.0014195,              0.0014195,              0.0014195
                      4,                 2.9212,                 2.6222,                 2.8185,                0.08943,                0.11188,                0.04275,                0.01215,                  3.134,                 2.9469,                 3.1477,              0.0014195,              0.0014195,              0.0014195
                      5,                 2.8094,                 2.5226,                 2.6865,                 0.1882,                0.29984,                0.14068,                0.03912,                 2.7743,                 3.1615,                 2.5639,              0.0013369,              0.0013369,              0.0013369
                      6,                 2.7239,                 2.4273,                 2.5885,                0.22691,                0.25745,                0.15865,                0.04864,                 2.6979,                 2.5064,                 2.4865,              0.0012544,              0.0012544,              0.0012544
                      7,                  2.624,                 2.3691,                 2.4939,                0.21243,                0.27668,                 0.1411,                0.04092,                 2.6287,                 2.4013,                 2.4074,              0.0011719,              0.0011719,              0.0011719
                      8,                 2.5764,                    2.3,                 2.4078,                0.17566,                0.26936,                0.13194,                0.03847,                 2.5516,                 2.3626,                  2.303,              0.0010894,              0.0010894,              0.0010894
                      9,                 2.4846,                 2.1842,                 2.3082,                0.23253,                0.34387,                0.18522,                0.05882,                 2.5724,                 2.6465,                 2.3248,              0.0010069,              0.0010069,              0.0010069
                     10,                 2.4636,                 2.1699,                 2.2649,                0.31415,                0.34736,                0.24289,                0.07787,                 2.4131,                 2.2182,                 2.1885,             0.00092435,             0.00092435,             0.00092435
                     11,                 2.4148,                 2.1528,                 2.2424,                 0.3788,                0.34732,                0.30505,                0.11068,                 2.3721,                 2.0738,                 2.1527,             0.00084184,             0.00084184,             0.00084184
                     12,                 2.3704,                 2.0987,                 2.1757,                0.35393,                0.34225,                0.26941,                0.09323,                 2.3545,                 2.0913,                 2.1131,             0.00075932,             0.00075932,             0.00075932
                     13,                 2.3173,                 2.0383,                 2.1199,                0.37699,                0.34802,                 0.2911,                0.10774,                 2.3298,                  2.106,                 2.0896,              0.0006768,              0.0006768,              0.0006768
                     14,                 2.3024,                 2.0289,                 2.0979,                  0.475,                0.38899,                0.36421,                0.14646,                 2.2543,                 1.9763,                 2.0206,             0.00059429,             0.00059429,             0.00059429
                     15,                 2.2632,                  2.029,                 2.0651,                 0.4361,                0.36176,                0.34125,                0.13216,                 2.2843,                 2.0381,                 2.0355,             0.00051177,             0.00051177,             0.00051177
                     16,                 2.2602,                  1.934,                 2.0544,                0.45271,                0.40273,                0.36666,                0.14521,                 2.2048,                 1.9709,                 1.9683,             0.00042925,             0.00042925,             0.00042925
                     17,                 2.2067,                 1.9696,                  2.014,                0.44562,                0.40816,                0.37788,                0.15138,                  2.223,                 1.9028,                 1.9857,             0.00034674,             0.00034674,             0.00034674
                     18,                 2.1744,                 1.8931,                 1.9931,                0.47633,                0.39842,                0.39013,                0.16216,                 2.1465,                 1.8847,                 1.9312,             0.00026422,             0.00026422,             0.00026422
                     19,                 2.1583,                 1.9071,                 1.9963,                 0.4886,                0.42474,                0.40827,                0.16882,                 2.1223,                 1.8759,                 1.9182,              0.0001817,              0.0001817,              0.0001817
